Symbol,Nifty 50,Nifty Next 50,Nifty 500,Nifty 750,Nifty Midcap 150,Nifty smallcap 250
GRAPHITE,,,GRASIM,DEEPAKNTR,,PRAJIND
GRASIM,,,GRAVITA,DELHIVERY,,RRKABEL
GESHIP,,,GESHIP,DEVYANI,,RBLBANK
GRINDWELL,,,FLUOROCHEM,DHANI,,RHIM
GAEL,,,GUJGASLTD,DBL,,RITES
FLUOROCHEM,,,GMDCLTD,DCAL,,RADICO
GUJGASLTD,,,GNFC,DIVISLAB,,RAILTEL
GMDCLTD,,,GPPL,DIXON,,RAINBOW
GNFC,,,GSPL,DODLA,,RKFORGE
GPPL,,,HEG,LALPATHLAB,,RCF
GSFC,,,HBLENGINE,DRREDDY,,RTNINDIA
GSPL,,,HCLTECH,DUMMYSTLTE,,RAYMONDLSL
HEG,,,HDFCAMC,DUMMYDBRLT,,RAYMOND
HBLPOWER,,,HDFCBANK,DYNAMATECH,,REDINGTON
HCLTECH,,,HDFCLIFE,EIDPARRY,,RPOWER
HDFCAMC,,,HFCL,EIHOTEL,,ROUTE
HDFCBANK,,,HAPPSTMNDS,EPL,,SBFC
HDFCLIFE,,,HAVELLS,EASEMYTRIP,,SKFINDIA
HFCL,,,HEROMOTOCO,EDELWEISS,,SAGILITY
HAPPSTMNDS,,,HSCL,EICHERMOT,,SAILIFE
HAVELLS,,,HINDALCO,ELECON,,SAMMAANCAP
HEROMOTOCO,,,HAL,EMIL,,SAPPHIRE
HSCL,,,HINDCOPPER,ELECTCAST,,SARDAEN
HINDALCO,,,HINDPETRO,ELGIEQUIP,,SAREGAMA
HAL,,,HINDUNILVR,EMAMILTD,,SCHNEIDER
HINDCOPPER,,,HINDZINC,EMBDL,,SCI
HINDPETRO,,,POWERINDIA,EMCURE,,RENUKA
HINDUNILVR,,,HOMEFIRST,ENDURANCE,,SHYAMMETL
HINDZINC,,,HONASA,ENGINERSIN,,SIGNATURE
POWERINDIA,,,HONAUT,ENTERO,,SOBHA
HOMEFIRST,,,HUDCO,EIEL,,SONATSOFTW
HONASA,,,HYUNDAI,EPIGRAL,,SWSOLAR
HONAUT,,,ICICIBANK,EQUITASBNK,,SUMICHEM
HUDCO,,,ICICIGI,ERIS,,SUNDRMFAST
